prolific_id,ramp_orientation,ramp_or_cube,orientation,predicted_further,predicted_direction,response
63bd8c8f03965fcab1bbb917,backward,ramp,consistent,blue,right,"I feel the yellow ramp doesn't allow the cubes to make it to the line while the blue one makes the cubes cross the line or get close to the line, so I assumed the yellow cube would not go far while the blue cube would go farther so I picked that one"
63bd8c8f03965fcab1bbb917,backward,ramp,consistent,black,right,I felt the black cube would go farther than the red cube
63bd8c8f03965fcab1bbb917,backward,ramp,reversed,blue,left,"I just assumed the cubes would fly off the ramp and go left, and knew the cube that was on the yellow ramp would not go far compared to the blue ramp"
63bd8c8f03965fcab1bbb917,backward,ramp,reversed,black,left,I assumed the black cube would go farther than the red cube
667480a01b74223f7c42314e,backward,cube,consistent,yellow,left,the cubes are at the height of the ramp with no momentum to carry them over the top
667480a01b74223f7c42314e,backward,cube,consistent,red,left,cubes at the height of the ramp with no momentum top go over to the right however the red cubes seem to go further than the black cubes
667480a01b74223f7c42314e,backward,cube,reversed,yellow,right,the yellow ramps would go further than the blue ramps
667480a01b74223f7c42314e,backward,cube,reversed,red,right,"red cubes go further than black cubes
"
66845287ef40b1ba18353714,backward,ramp,consistent,black,left,"Because black cube is in front, when a force is applied,it will be ahead of the red cube"
66845287ef40b1ba18353714,backward,ramp,consistent,blue,left,"Because the left cube is ahead, it will go front more than the other cube on the right when a force is applied"
66845287ef40b1ba18353714,backward,ramp,reversed,yellow,right,The first cube is slightly in front and will be ahead of the other when a force is applied
66845287ef40b1ba18353714,backward,ramp,reversed,red,right,Red cube has a higher chance than the black because it is slightly in front of the black one.
66736ad2b28d09d9e26164e4,forward,cube,consistent,yellow,right,The yellow wedge tended to move the block further
66736ad2b28d09d9e26164e4,forward,cube,consistent,red,right,the red block tended to travel further than the black one
66736ad2b28d09d9e26164e4,forward,cube,reversed,red,left,the red block tended to travel further than the block one
66736ad2b28d09d9e26164e4,forward,cube,reversed,yellow,left,the ywllow wedge sent the blocks furhter than the blue wedge
66857cc20736230620552dbc,forward,ramp,consistent,black,right,It was my best guess with the direction they were facing.
66857cc20736230620552dbc,forward,ramp,consistent,blue,right,"It was my best guess and I wasn't sure about the white blocks, but I took a guess."
66857cc20736230620552dbc,forward,ramp,reversed,red,left,I thought they would go this way with how they were facing.
66857cc20736230620552dbc,forward,ramp,reversed,blue,left,"I thought they would go that way, but wasn't sure which white block would be first."
65486ad91a5493d24f94d4d1,forward,ramp,consistent,red,right,it seem so
65486ad91a5493d24f94d4d1,forward,ramp,consistent,yellow,right,objects on yellow ramp slid further than on the blue
65486ad91a5493d24f94d4d1,forward,ramp,reversed,yellow,left,yellow ramp took the cube further than the blue
65486ad91a5493d24f94d4d1,forward,ramp,reversed,black,left,assumed
668d7fdd4d9bf5eaf242ae58,forward,ramp,consistent,red,right,Just by the way the ramp is angled
668d7fdd4d9bf5eaf242ae58,forward,ramp,consistent,yellow,right,By the way the ramp is angled
668d7fdd4d9bf5eaf242ae58,forward,ramp,reversed,red,right,The cubes are so close to falling off the ramp
668d7fdd4d9bf5eaf242ae58,forward,ramp,reversed,yellow,left,Seems ideal for the cubes to slide off and end up this way
5ef9338e3fa1390009d94b76,backward,cube,consistent,red,right,Because previously the red cube made it to the finish line where the black cube didn't. 
5ef9338e3fa1390009d94b76,backward,cube,consistent,blue,right,I think the cube from the blue triangle went further than the green one.  
5ef9338e3fa1390009d94b76,backward,cube,reversed,yellow,left,Because the position of triangles got switched
5ef9338e3fa1390009d94b76,backward,cube,reversed,red,left,The same reason why the triangle position switched/red cube made it further than the black cube 
653feb348f4df4e625de5909,backward,cube,consistent,yellow,left,I think the cubes will fly backwards because it is close to the end.
653feb348f4df4e625de5909,backward,cube,consistent,black,left,I chose that answer because it is close to the end.
653feb348f4df4e625de5909,backward,cube,reversed,black,right,I think the cubes slid to that place.
653feb348f4df4e625de5909,backward,cube,reversed,yellow,right,I think the cubes slid off to that place .
5feb962bf4e233c940073833,backward,cube,consistent,black,right,The black cube typically moves further than the red
5feb962bf4e233c940073833,backward,cube,consistent,yellow,right,the yellow ramp is further front than the blue
5feb962bf4e233c940073833,backward,cube,reversed,blue,left,the yellow ramp is further front the blue
5feb962bf4e233c940073833,backward,cube,reversed,red,left,"the black was always further the other way, so i applied the opposite"
66449de0adc1c8fe3761c951,forward,cube,consistent,blue,right,i think they wont go past the line but be close
