workerid,proliferate.condition,accuracy,accuracy_bool,age,bonus,correct_img,correct_key,correct_response,ethnicity,failed_audio,failed_images,failed_video,feedback,gender,hidden_img,img_selected,internal_node_id,overall_accuracy,question_order,race,response,rt,rule,stimulus,success,time_elapsed,timeout,trial,trial_index,trial_type,view_history,error
404,color_on,,,,,,,,,[],[],[],,,,,0.0-0.0,,,,,,dark,,True,82,False,,0,preload,,
404,color_on,,,,,,,,,[],[],[],,,,,0.0-1.0,,,,,,dark,,True,140,False,,1,preload,,
404,color_on,,,,,,,,,,,,,,,,0.0-2.0,,,,,,dark,,True,3917,,,2,fullscreen,,
404,color_on,,,,,,,,,,,,,,,,0.0-3.0,,,,0,3523,dark,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",,7442,,,3,html-button-response,,
404,color_on,,,,,,,,,,,,,,,,0.0-4.0-0.0,,,,,18695,dark,,,26138,,instructions_pt1,4,instructions,"[{'page_index': 0, 'viewing_time': 2724}, {'page_index': 1, 'viewing_time': 3372}, {'page_index': 2, 'viewing_time': 2760}, {'page_index': 3, 'viewing_time': 7056}, {'page_index': 4, 'viewing_time': 2782}]",
404,color_on,True,,,,,,j,,,,,,,,,0.0-4.0-1.0-0.0,,,,j,7473,dark,blicket_images/red_pyramid.jpg,,33619,,comprehension_quiz,5,image-keyboard-response,,
404,color_on,True,,,,,, ,,,,,,,,,0.0-4.0-1.0-1.0,,,, ,1854,dark,blicket_images/red_pyramid_on.jpg,,35477,,comprehension_quiz,6,image-keyboard-response,,
404,color_on,True,,,,,,f,,,,,,,,,0.0-4.0-1.0-2.0,,,,f,2352,dark,blicket_images/purple_prism.jpg,,37830,,comprehension_quiz,7,image-keyboard-response,,
404,color_on,True,,,,,, ,,,,,,,,,0.0-4.0-1.0-3.0,,,, ,2365,dark,blicket_images/purple_prism_off.jpg,,40199,,comprehension_quiz,8,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,,,0.0-5.0,,,,,33881,dark,,,74084,,,9,instructions,"[{'page_index': 0, 'viewing_time': 2695}, {'page_index': 1, 'viewing_time': 1682}, {'page_index': 2, 'viewing_time': 928}, {'page_index': 3, 'viewing_time': 1336}, {'page_index': 4, 'viewing_time': 998}, {'page_index': 5, 'viewing_time': 7076}, {'page_index': 6, 'viewing_time': 13302}, {'page_index': 7, 'viewing_time': 4692}, {'page_index': 8, 'viewing_time': 1172}]",
404,color_on,False,0,,,,j,on,,,,,,,,,0.0-6.0,,,,f,2610,dark,blicket_images/dc.jpg,,76695,,blicket,10,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/dc.jpg,,0.0-7.0,,,, ,2420,dark,blicket_images/dc_on.jpg,,79120,,feedback,11,image-keyboard-response,,
404,color_on,True,1,,,,f,off,,,,,,,,,0.0-8.0,,,,f,1580,dark,blicket_images/lc.jpg,,80703,,blicket,12,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/lc.jpg,,0.0-9.0,,,, ,1749,dark,blicket_images/lc_off.jpg,,82455,,feedback,13,image-keyboard-response,,
404,color_on,True,1,,,,j,on,,,,,,,,,0.0-10.0,,,,j,2069,dark,blicket_images/dc.jpg,,84527,,blicket,14,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/dc.jpg,,0.0-11.0,,,, ,1237,dark,blicket_images/dc_on.jpg,,85766,,feedback,15,image-keyboard-response,,
404,color_on,True,1,,,,f,off,,,,,,,,,0.0-12.0,,,,f,2120,dark,blicket_images/ls.jpg,,87887,,blicket,16,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/ls.jpg,,0.0-13.0,,,, ,2527,dark,blicket_images/ls_off.jpg,,90416,,feedback,17,image-keyboard-response,,
404,color_on,True,1,,,,j,on,,,,,,,,,0.0-14.0,,,,j,2748,dark,blicket_images/ds.jpg,,93167,,blicket,18,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/ds.jpg,,0.0-15.0,,,, ,1014,dark,blicket_images/ds_on.jpg,,94183,,feedback,19,image-keyboard-response,,
404,color_on,True,1,,,,f,off,,,,,,,,,0.0-16.0,,,,f,1126,dark,blicket_images/ls.jpg,,95310,,blicket,20,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/ls.jpg,,0.0-17.0,,,, ,894,dark,blicket_images/ls_off.jpg,,96206,,feedback,21,image-keyboard-response,,
404,color_on,True,1,,,,j,on,,,,,,,,,0.0-18.0,,,,j,974,dark,blicket_images/ds.jpg,,97182,,blicket,22,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/ds.jpg,,0.0-19.0,,,, ,901,dark,blicket_images/ds_on.jpg,,98085,,feedback,23,image-keyboard-response,,
404,color_on,True,1,,,,f,off,,,,,,,,,0.0-20.0,,,,f,1656,dark,blicket_images/lc.jpg,,99742,,blicket,24,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/lc.jpg,,0.0-21.0,,,, ,1007,dark,blicket_images/lc_off.jpg,,100760,,feedback,25,image-keyboard-response,,
404,color_on,True,1,,,,f,off,,,,,,,,,0.0-22.0,,,,f,1228,dark,blicket_images/ls.jpg,,101991,,blicket,26,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/ls.jpg,,0.0-23.0,,,, ,893,dark,blicket_images/ls_off.jpg,,102873,,feedback,27,image-keyboard-response,,
404,color_on,True,1,,,,j,on,,,,,,,,,0.0-24.0,,,,j,1262,dark,blicket_images/dc.jpg,,104137,,blicket,28,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/dc.jpg,,0.0-25.0,,,, ,886,dark,blicket_images/dc_on.jpg,,105025,,feedback,29,image-keyboard-response,,
404,color_on,True,1,,,,f,off,,,,,,,,,0.0-26.0,,,,f,1438,dark,blicket_images/lc.jpg,,106465,,blicket,30,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/lc.jpg,,0.0-27.0,,,, ,966,dark,blicket_images/lc_off.jpg,,107433,,feedback,31,image-keyboard-response,,
404,color_on,True,1,,,,j,on,,,,,,,,,0.0-28.0,,,,j,1182,dark,blicket_images/ds.jpg,,108617,,blicket,32,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/ds.jpg,,0.0-29.0,,,, ,934,dark,blicket_images/ds_on.jpg,,109553,,feedback,33,image-keyboard-response,,
404,color_on,True,1,,,,f,off,,,,,,,,,0.0-30.0,,,,f,2319,dark,blicket_images/ls.jpg,,111875,,blicket,34,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/ls.jpg,,0.0-31.0,,,, ,692,dark,blicket_images/ls_off.jpg,,112569,,feedback,35,image-keyboard-response,,
404,color_on,True,1,,,,f,off,,,,,,,,,0.0-32.0,,,,f,1678,dark,blicket_images/lc.jpg,,114257,,blicket,36,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/lc.jpg,,0.0-33.0,,,, ,662,dark,blicket_images/lc_off.jpg,,114921,,feedback,37,image-keyboard-response,,
404,color_on,True,1,,,,j,on,,,,,,,,,0.0-34.0,,,,j,1630,dark,blicket_images/ds.jpg,,116553,,blicket,38,image-keyboard-response,,
404,color_on,,,,,,,,,,,,,,blicket_images/ds.jpg,,0.0-35.0,,,, ,3446,dark,blicket_images/ds_on.jpg,,120001,,feedback,39,image-keyboard-response,,
