workerid,proliferate.condition,age,bonus,ethnicity,feedback,gender,internal_node_id,overall_accuracy,race,response,rt,rule,time_elapsed,trial,trial_index,trial_type,error
815,color_on,30,0.025,Non-Hispanic,,Male,0.0-12.0,0.5,White,"{'age': '30', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",8474,cylinder,72161,exit_survey,16,survey-html-form,
749,color_on,25,0.05,Non-Hispanic,,Male,0.0-12.0,1,White,"{'age': '25', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",11470,dark,245572,exit_survey,16,survey-html-form,
745,color_on,40,0.025,Non-Hispanic,the instructions,Female,0.0-12.0,0.5,White,"{'age': '40', 'race': 'White', 'gender': 'Female', 'feedback': 'the instructions', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",14927,light,143772,exit_survey,22,survey-html-form,
799,color_on,43,0.025,Non-Hispanic,Interesting,Female,0.0-12.0,0.5,,"{'age': '43', 'gender': 'Female', 'feedback': 'Interesting', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",13295,dark,134265,exit_survey,22,survey-html-form,
840,color_on,31,0.025,Non-Hispanic,,Male,0.0-12.0,0.5,White,"{'age': '31', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",6254,light,79641,exit_survey,16,survey-html-form,
851,color_on,24,0.025,Non-Hispanic,I assumed that the second object would be a Blicket since the first one wasn't.,Female,0.0-12.0,0.5,Black/African American,"{'age': '24', 'race': 'Black/African American', 'gender': 'Female', 'feedback': ""I assumed that the second object would be a Blicket since the first one wasn't."", 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",35748,dark,147100,exit_survey,16,survey-html-form,
848,color_on,23,0.025,Non-Hispanic,I decided based on what I thought seemed like a blinket,Male,0.0-12.0,0.5,White,"{'age': '23', 'race': 'White', 'gender': 'Male', 'feedback': 'I decided based on what I thought seemed like a blinket', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",24343,light,95401,exit_survey,16,survey-html-form,
832,color_on,29,0,Non-Hispanic,It was a guess,Non-binary,0.0-12.0,0,White,"{'age': '29', 'race': 'White', 'gender': 'Non-binary', 'feedback': 'It was a guess', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",23314,dark,144539,exit_survey,16,survey-html-form,
795,color_on,64,0.05,Non-Hispanic,none,Female,0.0-12.0,1,White,"{'age': '64', 'race': 'White', 'gender': 'Female', 'feedback': 'none', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",43186,dark,211991,exit_survey,16,survey-html-form,
844,color_on,20,0.025,Non-Hispanic,the color and shape of the face of the object,Female,0.0-12.0,0.5,White,"{'age': '20', 'race': 'White', 'gender': 'Female', 'feedback': 'the color and shape of the face of the object', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",40962,light,225225,exit_survey,16,survey-html-form,
765,color_on,23,0.05,Non-Hispanic,"I was guessing it was color, but wasn't sure",Male,0.0-12.0,1,White,"{'age': '23', 'race': 'White', 'gender': 'Male', 'feedback': ""I was guessing it was color, but wasn't sure"", 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",49596,light,158998,exit_survey,16,survey-html-form,
737,color_on,28,0.05,Hispanic,the shape of the objects,Female,0.0-12.0,1,White,"{'age': '28', 'race': 'White', 'gender': 'Female', 'feedback': 'the shape of the objects', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",31593,light,165013,exit_survey,22,survey-html-form,
807,color_on,25,0.05,Non-Hispanic,,Female,0.0-12.0,1,White,"{'age': '25', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",10787,light,121130,exit_survey,22,survey-html-form,
819,color_on,56,0.025,Non-Hispanic,,Female,0.0-12.0,0.5,White,"{'age': '56', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",15225,light,558801,exit_survey,16,survey-html-form,
757,color_on,40,0.025,Non-Hispanic,,Female,0.0-12.0,0.5,White,"{'age': '40', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",8917,dark,164305,exit_survey,16,survey-html-form,
803,color_on,21,0.05,Non-Hispanic,No factors influenced me to respond a certain way,Female,0.0-12.0,1,Asian,"{'age': '21', 'race': 'Asian', 'gender': 'Female', 'feedback': 'No factors influenced me to respond a certain way', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",23832,light,83535,exit_survey,16,survey-html-form,
779,color_on,35,0.025,Non-Hispanic,color,Male,0.0-12.0,0.5,White,"{'age': '35', 'race': 'White', 'gender': 'Male', 'feedback': 'color', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",18360,light,90012,exit_survey,22,survey-html-form,
729,color_on,65,0.025,Non-Hispanic,"I was not certain which of the shapes were blickets and which were not; therefore, I determined all were likely blickets. No comments or questions.",Male,0.0-12.0,0.5,White,"{'age': '65', 'race': 'White', 'gender': 'Male', 'feedback': 'I was not certain which of the shapes were blickets and which were not; therefore, I determined all were likely blickets. No comments or questions.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",96593,light,349611,exit_survey,22,survey-html-form,
783,color_on,35,0,Non-Hispanic,,Male,0.0-12.0,0,White,"{'age': '35', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",9710,dark,122836,exit_survey,22,survey-html-form,
836,color_on,19,0.025,Non-Hispanic,,Female,0.0-12.0,0.5,White,"{'age': '19', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",9031,dark,113746,exit_survey,22,survey-html-form,
823,color_on,38,0.025,Non-Hispanic,I guessed at first and then gathered information to make a more informed decision.,Female,0.0-12.0,0.5,White,"{'age': '38', 'race': 'White', 'gender': 'Female', 'feedback': 'I guessed at first and then gathered information to make a more informed decision.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",37632,light,135253,exit_survey,16,survey-html-form,
774,color_on,25,0.025,Non-Hispanic,I wanted to determine if the color dictated if it was a blicket or not. ,Non-binary,0.0-12.0,0.5,Multiracial,"{'age': '25', 'race': 'Multiracial', 'gender': 'Non-binary', 'feedback': 'I wanted to determine if the color dictated if it was a blicket or not. ', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",71124,dark,281490,exit_survey,16,survey-html-form,
733,color_on,27,0.025,Non-Hispanic,,Female,0.0-12.0,0.5,White,"{'age': '27', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",9523,light,116489,exit_survey,16,survey-html-form,
753,color_on,25,0.025,Non-Hispanic,What happened previously,Female,0.0-12.0,0.5,White,"{'age': '25', 'race': 'White', 'gender': 'Female', 'feedback': 'What happened previously', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",18334,light,89643,exit_survey,16,survey-html-form,
761,color_on,18,0,,,,0.0-12.0,0,,"{'age': '18', 'feedback': '', 'other_race': '', 'other_gender': ''}",11100,dark,129361,exit_survey,22,survey-html-form,
769,color_on,38,0,Non-Hispanic,"I incorrectly guessed the first one, so I assumed its opposite was correct. ",Female,0.0-12.0,0,White,"{'age': '38', 'race': 'White', 'gender': 'Female', 'feedback': 'I incorrectly guessed the first one, so I assumed its opposite was correct. ', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",36669,light,119721,exit_survey,22,survey-html-form,
