workerid,proliferate.condition,accuracy,accuracy_bool,correct_img,correct_key,correct_response,hidden_img,img_selected,internal_node_id,question_order,response,rt,rule,stimulus,time_elapsed,trial,trial_index,trial_type,error
815,color_on,True,1,,j,on,blicket_images/dc.jpg,,0.0-6.0,,j,1723,cylinder,blicket_images/dc.jpg,46348,blicket,10,image-keyboard-response,
815,color_on,False,0,,f,off,blicket_images/ds.jpg,,0.0-8.0,,j,1241,cylinder,blicket_images/ds.jpg,49351,blicket,12,image-keyboard-response,
815,color_on,True,1,blicket_images/ds.jpg,,ds,,blicket_images/ds.jpg,0.0-9.0,,ds,3427,cylinder,"Which of these options shows the image from the last trial, that you just saw?",52780,pop_quiz,13,html-button-response,
815,color_on,False,0,,,"['dc', 'lc']",,,0.0-10.0,[0],['dc'],4823,cylinder,,57611,rule_question,14,survey-multi-select,
749,color_on,True,1,,f,off,blicket_images/lc.jpg,,0.0-6.0,,f,3784,dark,blicket_images/lc.jpg,66254,blicket,10,image-keyboard-response,
749,color_on,True,1,,j,on,blicket_images/ds.jpg,,0.0-8.0,,j,4215,dark,blicket_images/ds.jpg,215620,blicket,12,image-keyboard-response,
749,color_on,True,1,blicket_images/ds.jpg,,ds,,blicket_images/ds.jpg,0.0-9.0,,ds,4179,dark,"Which of these options shows the image from the last trial, that you just saw?",219809,pop_quiz,13,html-button-response,
749,color_on,True,1,,,"['dc', 'ds']",,,0.0-10.0,[0],"['dc', 'ds']",10094,dark,,229910,rule_question,14,survey-multi-select,
745,color_on,False,0,,f,off,blicket_images/ds.jpg,,0.0-6.0,,j,2919,light,blicket_images/ds.jpg,111834,blicket,16,image-keyboard-response,
745,color_on,True,1,,j,on,blicket_images/ls.jpg,,0.0-8.0,,j,3214,light,blicket_images/ls.jpg,115937,blicket,18,image-keyboard-response,
745,color_on,True,1,blicket_images/ls.jpg,,ls,,blicket_images/ls.jpg,0.0-9.0,,ls,5508,light,"Which of these options shows the image from the last trial, that you just saw?",121451,pop_quiz,19,html-button-response,
745,color_on,False,0,,,"['lc', 'ls']",,,0.0-10.0,[0],['ls'],4134,light,,125593,rule_question,20,survey-multi-select,
799,color_on,False,0,,f,off,blicket_images/lc.jpg,,0.0-6.0,,j,5437,dark,blicket_images/lc.jpg,103276,blicket,16,image-keyboard-response,
799,color_on,True,1,,j,on,blicket_images/ds.jpg,,0.0-8.0,,j,4223,dark,blicket_images/ds.jpg,108477,blicket,18,image-keyboard-response,
799,color_on,True,1,blicket_images/ds.jpg,,ds,,blicket_images/ds.jpg,0.0-9.0,,ds,3109,dark,"Which of these options shows the image from the last trial, that you just saw?",111616,pop_quiz,19,html-button-response,
799,color_on,False,0,,,"['dc', 'ds']",,,0.0-10.0,[0],['ds'],7292,dark,,118916,rule_question,20,survey-multi-select,
840,color_on,True,1,,j,on,blicket_images/ls.jpg,,0.0-6.0,,j,3891,light,blicket_images/ls.jpg,61616,blicket,10,image-keyboard-response,
840,color_on,False,0,,j,on,blicket_images/lc.jpg,,0.0-8.0,,f,1122,light,blicket_images/lc.jpg,64166,blicket,12,image-keyboard-response,
