workerid,proliferate.condition,age,bonus,condition,ethnicity,feedback,gender,internal_node_id,overall_accuracy,race,response,rt,time_elapsed,trial,trial_index,trial_type,error
1111,1_cube_black,58,0.39,1,Non-Hispanic,I found the pattern quite quickly,Female,0.0-27.0,0.8125,White,"{'age': '58', 'race': 'White', 'gender': 'Female', 'feedback': 'I found the pattern quite quickly', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",29707,293215,exit_survey,61,survey-html-form,
1185,1_cube_black,60,0.42,1,Non-Hispanic,"RED NEVER CROSSED, BLACK ALWAYS CROSSED",Male,0.0-27.0,0.875,White,"{'age': '60', 'race': 'White', 'gender': 'Male', 'feedback': 'RED NEVER CROSSED, BLACK ALWAYS CROSSED', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",50973,353022,exit_survey,61,survey-html-form,
1189,1_cube_black,29,0.3,1,Non-Hispanic,Trial and error,Female,0.0-27.0,0.625,White,"{'age': '29', 'race': 'White', 'gender': 'Female', 'feedback': 'Trial and error', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",25128,283978,exit_survey,61,survey-html-form,
1115,1_cube_black,34,0.48,1,Hispanic,The only factor was a pattern that red blocks would not go across the finish line.,Male,0.0-27.0,1,White,"{'age': '34', 'race': 'White', 'gender': 'Male', 'feedback': 'The only factor was a pattern that red blocks would not go across the finish line.', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",41187,898875,exit_survey,65,survey-html-form,
1127,1_cube_black,29,0.48,1,Non-Hispanic,Initially I just guessed with the black and the red blocks and I just got lucky. But then I noticed that black always passed the finish line and red never did no matter what.,Female,0.0-27.0,1,White,"{'age': '29', 'race': 'White', 'gender': 'Female', 'feedback': 'Initially I just guessed with the black and the red blocks and I just got lucky. But then I noticed that black always passed the finish line and red never did no matter what.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",34764,281943,exit_survey,61,survey-html-form,
1149,1_cube_black,28,0.27,1,Non-Hispanic,,Male,0.0-27.0,0.5625,White,"{'age': '28', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",8262,238294,exit_survey,61,survey-html-form,
1202,1_cube_black,63,0.42,1,Non-Hispanic,color of block,Female,0.0-27.0,0.875,White,"{'age': '63', 'race': 'White', 'gender': 'Female', 'feedback': 'color of block', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",24897,336496,exit_survey,61,survey-html-form,
1197,1_cube_black,21,0.48,1,Non-Hispanic,"I just responded based on the color of the cube, guessing that red would not make it and black would make it and was luckily right the entire time.",Male,0.0-27.0,1,White,"{'age': '21', 'race': 'White', 'gender': 'Male', 'feedback': 'I just responded based on the color of the cube, guessing that red would not make it and black would make it and was luckily right the entire time.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",20413,251582,exit_survey,61,survey-html-form,
1145,1_cube_black,23,0.42,1,Hispanic,The black block went farther than the red block on both ramps and always crossed the finish line while the red block never crossed.,Male,0.0-27.0,0.875,White,"{'age': '23', 'race': 'White', 'gender': 'Male', 'feedback': 'The black block went farther than the red block on both ramps and always crossed the finish line while the red block never crossed.', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",56197,314550,exit_survey,61,survey-html-form,
1132,1_cube_black,19,0.42,1,Non-Hispanic,Depending on the color of the block.,Female,0.0-27.0,0.875,White,"{'age': '19', 'race': 'White', 'gender': 'Female', 'feedback': 'Depending on the color of the block.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",20943,255818,exit_survey,61,survey-html-form,
1161,1_cube_black,59,0.15,2,Non-Hispanic,none,Female,0.0-27.0,0.3125,Black/African American,"{'age': '59', 'race': 'Black/African American', 'gender': 'Female', 'feedback': 'none', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",24929,322740,exit_survey,61,survey-html-form,
1153,1_cube_black,40,0.45,1,Hispanic,None.,Female,0.0-27.0,0.9375,Multiracial,"{'age': '40', 'race': 'Multiracial', 'gender': 'Female', 'feedback': 'None.', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",16888,266553,exit_survey,61,survey-html-form,
1134,1_cube_black,25,0.42,1,Non-Hispanic,I knew the red blocks wouldnt cross the line and the black blocks would,Female,0.0-27.0,0.875,White,"{'age': '25', 'race': 'White', 'gender': 'Female', 'feedback': 'I knew the red blocks wouldnt cross the line and the black blocks would', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",23606,310277,exit_survey,61,survey-html-form,
1210,1_cube_black,20,0.36,1,Non-Hispanic,I'm trying to find a clear pattern between which block and ramp combination usually passes or not. I think about the weight of each block and the friction of each ramp.,Male,0.0-27.0,0.75,Asian,"{'age': '20', 'race': 'Asian', 'gender': 'Male', 'feedback': ""I'm trying to find a clear pattern between which block and ramp combination usually passes or not. I think about the weight of each block and the friction of each ramp."", 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",54680,340359,exit_survey,61,survey-html-form,
1173,1_cube_black,46,0.45,1,Non-Hispanic,"Black always goes farther than red, and either one goes farther on yellow than blue",Male,0.0-27.0,0.9375,White,"{'age': '46', 'race': 'White', 'gender': 'Male', 'feedback': 'Black always goes farther than red, and either one goes farther on yellow than blue', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",43491,293636,exit_survey,61,survey-html-form,
1218,1_cube_black,33,0.48,1,Hispanic,i noticed the color of the square rolling made big difference if is red probably not finish line but if black then can most likely finish the line,Male,0.0-27.0,1,White,"{'age': '33', 'race': 'White', 'gender': 'Male', 'feedback': 'i noticed the color of the square rolling made big difference if is red probably not finish line but if black then can most likely finish the line', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",55141,542258,exit_survey,61,survey-html-form,
1165,1_cube_black,29,0.39,1,Non-Hispanic,Red cubes never crossed the line. ,Female,0.0-27.0,0.8125,Black/African American,"{'age': '29', 'race': 'Black/African American', 'gender': 'Female', 'feedback': 'Red cubes never crossed the line. ', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",24395,349902,exit_survey,61,survey-html-form,
1141,1_cube_black,30,0.42,1,Non-Hispanic,,Male,0.0-27.0,0.875,Black/African American,"{'age': '30', 'race': 'Black/African American', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",45747,277057,exit_survey,65,survey-html-form,
1201,1_cube_black,43,0.39,1,Non-Hispanic,I learned the colors of the blocks determined the outcome,Female,0.0-27.0,0.8125,White,"{'age': '43', 'race': 'White', 'gender': 'Female', 'feedback': 'I learned the colors of the blocks determined the outcome', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",24283,467576,exit_survey,61,survey-html-form,
1137,1_cube_black,33,0.39,1,Non-Hispanic,"The red block didn't seem to cross ever, and the yellow ramp seemed to accelerate the block's movement.",Male,0.0-27.0,0.8125,White,"{'age': '33', 'race': 'White', 'gender': 'Male', 'feedback': ""The red block didn't seem to cross ever, and the yellow ramp seemed to accelerate the block's movement."", 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",32982,322952,exit_survey,61,survey-html-form,
1176,1_cube_black,22,0.24,1,Non-Hispanic,"At first, I was guessing at random. I only realized there was a pattern at the very end.",Female,0.0-27.0,0.5,White,"{'age': '22', 'race': 'White', 'gender': 'Female', 'feedback': 'At first, I was guessing at random. I only realized there was a pattern at the very end.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",41532,262601,exit_survey,61,survey-html-form,
1119,1_cube_black,32,0.42,1,Non-Hispanic,I recognized that the red block never crossed the line,Female,0.0-27.0,0.875,White,"{'age': '32', 'race': 'White', 'gender': 'Female', 'feedback': 'I recognized that the red block never crossed the line', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",18599,254339,exit_survey,61,survey-html-form,
1107,1_cube_black,46,0.24,1,Non-Hispanic,A fund experiment,Male,0.0-27.0,0.5,White,"{'age': '46', 'race': 'White', 'gender': 'Male', 'feedback': 'A fund experiment', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",19136,358420,exit_survey,61,survey-html-form,
1193,1_cube_black,51,0.42,1,Non-Hispanic,Black always crossed,Female,0.0-27.0,0.875,White,"{'age': '51', 'race': 'White', 'gender': 'Female', 'feedback': 'Black always crossed', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",14509,250167,exit_survey,61,survey-html-form,
1206,1_cube_black,26,0.42,1,Non-Hispanic,the differences between colors,Male,0.0-27.0,0.875,White,"{'age': '26', 'race': 'White', 'gender': 'Male', 'feedback': 'the differences between colors', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",156144,452823,exit_survey,61,survey-html-form,
1157,1_cube_black,32,0.42,1,Non-Hispanic,Trial and error realized the red never crosses and the black always does.,Male,0.0-27.0,0.875,White,"{'age': '32', 'race': 'White', 'gender': 'Male', 'feedback': 'Trial and error realized the red never crosses and the black always does.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",36222,268205,exit_survey,61,survey-html-form,
1106,1_cube_black,30,0.24,1,Non-Hispanic,I picked at random and hoped for the correct outcome.,Female,0.0-27.0,0.5,Black/African American,"{'age': '30', 'race': 'Black/African American', 'gender': 'Female', 'feedback': 'I picked at random and hoped for the correct outcome.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",78055,445549,exit_survey,61,survey-html-form,
