workerid,proliferate.condition,age,bonus,condition,ethnicity,feedback,gender,internal_node_id,overall_accuracy,race,response,rt,time_elapsed,trial,trial_index,trial_type,error
1577,3_ramp_blue,32,0.21,3,Non-Hispanic,,Male,0.0-27.0,0.4375,Black/African American,"{'age': '32', 'race': 'Black/African American', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",6435,217514,exit_survey,61,survey-html-form,
1605,3_ramp_blue,32,0.3,3,Non-Hispanic,The size of the cube and color,Female,0.0-27.0,0.625,Asian,"{'age': '32', 'race': 'Asian', 'gender': 'Female', 'feedback': 'The size of the cube and color', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",25915,294818,exit_survey,61,survey-html-form,
1521,3_ramp_blue,56,0.45,3,Non-Hispanic,none,Non-binary,0.0-27.0,0.9375,White,"{'age': '56', 'race': 'White', 'gender': 'Non-binary', 'feedback': 'none', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",42304,431198,exit_survey,61,survey-html-form,
1561,3_ramp_blue,39,0.36,3,Non-Hispanic,The colors played an important part in my decisions. They definitely had different attributes that affected the end result. ,Male,0.0-27.0,0.75,White,"{'age': '39', 'race': 'White', 'gender': 'Male', 'feedback': 'The colors played an important part in my decisions. They definitely had different attributes that affected the end result. ', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",51057,342031,exit_survey,61,survey-html-form,
1597,3_ramp_blue,41,0.27,3,Non-Hispanic,"I tried guessing by ramp color, block color but it wasn't consistent so it was basically just my best guess",Female,0.0-27.0,0.5625,White,"{'age': '41', 'race': 'White', 'gender': 'Female', 'feedback': ""I tried guessing by ramp color, block color but it wasn't consistent so it was basically just my best guess"", 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",82358,507309,exit_survey,61,survey-html-form,
1565,3_ramp_blue,34,0.36,3,Non-Hispanic,Based on what the ramp/block color combinations did when I watched the first couple times,Female,0.0-27.0,0.75,White,"{'age': '34', 'race': 'White', 'gender': 'Female', 'feedback': 'Based on what the ramp/block color combinations did when I watched the first couple times', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",72517,371658,exit_survey,61,survey-html-form,
1513,3_ramp_blue,25,0.45,3,Non-Hispanic,paid attention to combination of ramp and block color and how far it went,Female,0.0-27.0,0.9375,White,"{'age': '25', 'race': 'White', 'gender': 'Female', 'feedback': 'paid attention to combination of ramp and block color and how far it went', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",24691,251159,exit_survey,61,survey-html-form,
1617,3_ramp_blue,31,0.15,3,Non-Hispanic,it was pretty random.,Female,0.0-27.0,0.3125,White,"{'age': '31', 'race': 'White', 'gender': 'Female', 'feedback': 'it was pretty random.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",20202,265026,exit_survey,61,survey-html-form,
1557,3_ramp_blue,75,0.39,3,Non-Hispanic,each color combination behaved the same way each time I think but that was a guess. I hoped it would.,Male,0.0-27.0,0.8125,White,"{'age': '75', 'race': 'White', 'gender': 'Male', 'feedback': 'each color combination behaved the same way each time I think but that was a guess. I hoped it would.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",104242,959548,exit_survey,61,survey-html-form,
1613,3_ramp_blue,34,0.39,3,Hispanic,,Male,0.0-27.0,0.8125,White,"{'age': '34', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",9029,265699,exit_survey,61,survey-html-form,
1569,3_ramp_blue,44,0.39,3,Non-Hispanic,observing ,Female,0.0-27.0,0.8125,White,"{'age': '44', 'race': 'White', 'gender': 'Female', 'feedback': 'observing ', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",29648,414328,exit_survey,61,survey-html-form,
1501,3_ramp_blue,32,0.45,3,Non-Hispanic,"I assigned a speed value to both ramp and square and then learned each combination. After a few repeats, I learned that only red blue combo crosses the line",Male,0.0-27.0,0.9375,White,"{'age': '32', 'race': 'White', 'gender': 'Male', 'feedback': 'I assigned a speed value to both ramp and square and then learned each combination. After a few repeats, I learned that only red blue combo crosses the line', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",70642,462344,exit_survey,61,survey-html-form,
1509,3_ramp_blue,32,0.36,3,Non-Hispanic,,Male,0.0-27.0,0.75,White,"{'age': '32', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",8236,279178,exit_survey,61,survey-html-form,
1585,3_ramp_blue,28,0.39,3,Non-Hispanic,Figuring out which ramp was better and which cube went further.,Male,0.0-27.0,0.8125,White,"{'age': '28', 'race': 'White', 'gender': 'Male', 'feedback': 'Figuring out which ramp was better and which cube went further.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",25928,255586,exit_survey,61,survey-html-form,
1505,3_ramp_blue,72,0.21,3,Non-Hispanic,It was just a guess!,Female,0.0-27.0,0.4375,,"{'age': '72', 'gender': 'Female', 'feedback': 'It was just a guess!', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",30874,395810,exit_survey,61,survey-html-form,
1537,3_ramp_blue,42,0.39,3,Non-Hispanic,Red block on blue ramp always crossed the finish line.,Female,0.0-27.0,0.8125,Multiracial,"{'age': '42', 'race': 'Multiracial', 'gender': 'Female', 'feedback': 'Red block on blue ramp always crossed the finish line.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",34607,268025,exit_survey,61,survey-html-form,
1525,3_ramp_blue,31,0.42,3,Non-Hispanic,"I used trial and error, then my predictions held true for the rest of the study. ",Female,0.0-27.0,0.875,White,"{'age': '31', 'race': 'White', 'gender': 'Female', 'feedback': 'I used trial and error, then my predictions held true for the rest of the study. ', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",15906,239289,exit_survey,61,survey-html-form,
1545,3_ramp_blue,31,0.36,3,Non-Hispanic,,Female,0.0-27.0,0.75,White,"{'age': '31', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",19103,1067945,exit_survey,61,survey-html-form,
1573,3_ramp_blue,23,0.36,3,Non-Hispanic,,Female,0.0-27.0,0.75,White,"{'age': '23', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",9453,283472,exit_survey,61,survey-html-form,
1529,3_ramp_blue,49,0.36,3,Non-Hispanic,I noticed the yellow block was bad altogether and the black block was bad with both yellow and blue.,Male,0.0-27.0,0.75,Multiracial,"{'age': '49', 'race': 'Multiracial', 'gender': 'Male', 'feedback': 'I noticed the yellow block was bad altogether and the black block was bad with both yellow and blue.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",73893,377621,exit_survey,61,survey-html-form,
1601,3_ramp_blue,35,0.42,3,Non-Hispanic,After a little trial and error I feel like I had it figured out. Good luck with your research! :),Male,0.0-27.0,0.875,White,"{'age': '35', 'race': 'White', 'gender': 'Male', 'feedback': 'After a little trial and error I feel like I had it figured out. Good luck with your research! :)', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",31978,335847,exit_survey,61,survey-html-form,
1517,3_ramp_blue,37,0.12,3,Non-Hispanic,I looked at how far the cube was on the ramp to try and determine whether the cube will reach the finish line.,Female,0.0-27.0,0.25,Black/African American,"{'age': '37', 'race': 'Black/African American', 'gender': 'Female', 'feedback': 'I looked at how far the cube was on the ramp to try and determine whether the cube will reach the finish line.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",40000,505289,exit_survey,65,survey-html-form,
1609,3_ramp_blue,41,0.42,3,Non-Hispanic,I just watched which block crossed the line and predicted it would the next time and it did.,Male,0.0-27.0,0.875,White,"{'age': '41', 'race': 'White', 'gender': 'Male', 'feedback': 'I just watched which block crossed the line and predicted it would the next time and it did.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",36064,342046,exit_survey,61,survey-html-form,
1553,3_ramp_blue,23,0.39,3,Non-Hispanic,I began by guessing to see what would happen.,Female,0.0-27.0,0.8125,White,"{'age': '23', 'race': 'White', 'gender': 'Female', 'feedback': 'I began by guessing to see what would happen.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",22439,292754,exit_survey,61,survey-html-form,
1549,3_ramp_blue,25,0.24,3,Non-Hispanic,Looked for patterns with colors,Female,0.0-27.0,0.5,Asian,"{'age': '25', 'race': 'Asian', 'gender': 'Female', 'feedback': 'Looked for patterns with colors', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",31620,299545,exit_survey,61,survey-html-form,
1581,3_ramp_blue,33,0.45,3,Non-Hispanic,"I think the black block was ""heavier"" than the red, and the only winner was the red/yellow combo.",Female,0.0-27.0,0.9375,White,"{'age': '33', 'race': 'White', 'gender': 'Female', 'feedback': 'I think the black block was ""heavier"" than the red, and the only winner was the red/yellow combo.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",25822,362639,exit_survey,61,survey-html-form,
1593,3_ramp_blue,29,0.32999999999999996,3,Non-Hispanic,only blue and red would cross the line,Male,0.0-27.0,0.6875,White,"{'age': '29', 'race': 'White', 'gender': 'Male', 'feedback': 'only blue and red would cross the line', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",17874,230334,exit_survey,61,survey-html-form,
1541,3_ramp_blue,53,0.18,3,Non-Hispanic,"There were no facors involved as nothing shown gives the slightest clue as to what to expect, guesses only.",Male,0.0-27.0,0.375,White,"{'age': '53', 'race': 'White', 'gender': 'Male', 'feedback': 'There were no facors involved as nothing shown gives the slightest clue as to what to expect, guesses only.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",57507,370893,exit_survey,61,survey-html-form,
1533,3_ramp_blue,22,0.36,3,Non-Hispanic,"At first I was making decisions based on the height of the ramp, but after I gained experience, I based it on how the blocks moved in the previous tests.",Non-binary,0.0-27.0,0.75,Multiracial,"{'age': '22', 'race': 'Multiracial', 'gender': 'Non-binary', 'feedback': 'At first I was making decisions based on the height of the ramp, but after I gained experience, I based it on how the blocks moved in the previous tests.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",100023,373028,exit_survey,61,survey-html-form,
