workerid,proliferate.condition,accuracy,accuracy_bool,accuracy_finish_line,age,bonus,choices,condition,correct,correct_response,crosses,end_posision,end_position,ethnicity,failed_audio,failed_images,failed_video,feedback,gender,internal_node_id,overall_accuracy,question_order,race,response,rt,selected_position,stimulus,success,surprise_setup,time_elapsed,timeout,trial,trial_index,trial_type,view_history,error
1577,3_ramp_blue,,,,,,,3,,,,,,,[],[],[],,,0.0-0.0,,,,,,,,True,,353,False,,0,preload,,
1577,3_ramp_blue,,,,,,,3,,,,,,,,,,,,0.0-1.0,,,,,,,,True,,2659,,,1,fullscreen,,
1577,3_ramp_blue,,,,,,,3,,,,,,,,,,,,0.0-2.0,,,,0,2110,,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:20px; max-width:900px;""><p><b>Description:</b> Welcome! You are invited to participate in a research study in cognitive psychology. You will be asked to perform various tasks on a computer which may include: looking at images or videos, listening to sounds, reading scenarios, or playing games. You may be asked a number of different questions about making judgments and intepreting people's actions. All information collected will remain confidential. </p> <p> <b>Risks and benefits:</b> Risks involved in this study are the same as those normally associated with using a computer (e.g., mild eye/arm strain). If you have any pre- existing conditions that might make reading and completing a computer-based survey strenuous for you, you should probably elect to not participate in this study. If at any time during the study you feel unable to participate because you are experiencing strain, you may end your participation without penalty. We cannot and do not guarantee or promise that you will receive any benefits from this study. Your decision whether or not to participate in this study will not affect your employment, medical care, and/or grades in school. </p><p><b>Time involvement:</b> Your participation in this experiment will take  5 minutes. </p><p><b> Payment:</b> If recruitment materials indicate payment (e.g., Prolific or other recruitment), you will receive compensation as indicated. </p><p><b>Subject's rights:</b> If you have read this notice and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study. </p><p><b>Contact information:</b> If you have any questions, concerns or complaints about this research study, its procedures, or risks and benefits, you should ask the Protocol Director, (Professor Tobias Gerstenberg, Phone: (650) 725-2431; Email: gerstenberg@stanford.edu). </p><p><b>Independent contact:</b> If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team via email at irb2-manager@lists.stanford.edu, or via phone at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306. </p><p>You may want to print a copy of this consent form to keep. By clicking the button below, you acknowledge that you have read the above information, that you are 18 years of age, or older and give your consent to participate in our internet-based study and consent for us to analyze the resulting data. </p> </div><p> Do you agree with the terms of the experiment as explained above? </p>",,,4771,,,2,html-button-response,,
1577,3_ramp_blue,,,,,,,3,,,,,,,,,,,,0.0-3.0-0.0,,,,,13820,,,,,18595,,instructions_pt1,3,instructions,"[{'page_index': 0, 'viewing_time': 2251}, {'page_index': 1, 'viewing_time': 2054}, {'page_index': 2, 'viewing_time': 1330}, {'page_index': 3, 'viewing_time': 1371}, {'page_index': 4, 'viewing_time': 2131}, {'page_index': 5, 'viewing_time': 1593}, {'page_index': 6, 'viewing_time': 1736}, {'page_index': 7, 'viewing_time': 1354}]",
1577,3_ramp_blue,True,,,,,,3,,0,,,,,,,,,,0.0-3.0-1.0-0.0,,,,0,3452,,"<p> In this experiment, you will receive a bonus payment proportional to _________.</p>",,,22049,,comprehension_quiz,4,html-button-response,,
1577,3_ramp_blue,True,,,,,,3,,1,,,,,,,,,,0.0-3.0-1.0-1.0,,,,1,1769,,You will be asked to predict whether objects _________.,,,23820,,comprehension_quiz,5,html-button-response,,
1577,3_ramp_blue,,,,,,,3,,,,,,,,,,,,0.0-4.0,,,,0,1001,,The experiment will now begin,,,24824,,,6,html-button-response,,
1577,3_ramp_blue,,0,,,,,3,False,No,False,,0,,,,,,,0.0-5.0-0.0,,,,Yes,2129,,stimuli/hb_hy_r_first.jpg,,,26967,,prediction_trial,7,image-button-response,,
1577,3_ramp_blue,,,,,,,3,False,,,,,,,,,,,0.0-5.0-1.0,,,,,,,['stimuli/hb_hy_r.mp4'],,,34757,,video_trial,8,video-button-response,,
1577,3_ramp_blue,,,,,,,3,,,,,,,,,,,,0.0-5.0-2.0,,,,0,1033,,stimuli/hb_hy_r_last.jpg,,,35800,,feedback_trial,9,image-button-response,,
1577,3_ramp_blue,,1,,,,,3,True,Yes,True,,3,,,,,,,0.0-6.0-0.0,,,,Yes,2128,,stimuli/lr_lb_r_first.jpg,,,37940,,prediction_trial,10,image-button-response,,
1577,3_ramp_blue,,,,,,,3,True,,,,,,,,,,,0.0-6.0-1.0,,,,,,,['stimuli/lr_lb_r.mp4'],,,46216,,video_trial,11,video-button-response,,
1577,3_ramp_blue,,,,,,,3,,,,,,,,,,,,0.0-6.0-2.0,,,,0,960,,stimuli/lr_lb_r_last.jpg,,,47192,,feedback_trial,12,image-button-response,,
1577,3_ramp_blue,,0,,,,,3,False,No,False,,2,,,,,,,0.0-7.0-0.0,,,,Yes,1795,,stimuli/hb_lb_r_first.jpg,,,48999,,prediction_trial,13,image-button-response,,
1577,3_ramp_blue,,,,,,,3,False,,,,,,,,,,,0.0-7.0-1.0,,,,,,,['stimuli/hb_lb_r.mp4'],,,57277,,video_trial,14,video-button-response,,
1577,3_ramp_blue,,,,,,,3,,,,,,,,,,,,0.0-7.0-2.0,,,,0,658,,stimuli/hb_lb_r_last.jpg,,,57945,,feedback_trial,15,image-button-response,,
1577,3_ramp_blue,,0,,,,,3,False,No,False,,0,,,,,,,0.0-8.0-0.0,,,,Yes,1907,,stimuli/hb_hy_r_first.jpg,,,59863,,prediction_trial,16,image-button-response,,
1577,3_ramp_blue,,,,,,,3,False,,,,,,,,,,,0.0-8.0-1.0,,,,,,,['stimuli/hb_hy_r.mp4'],,,67646,,video_trial,17,video-button-response,,
1577,3_ramp_blue,,,,,,,3,,,,,,,,,,,,0.0-8.0-2.0,,,,0,3801,,stimuli/hb_hy_r_last.jpg,,,71452,,feedback_trial,18,image-button-response,,
1577,3_ramp_blue,,1,,,,,3,True,Yes,True,,3,,,,,,,0.0-9.0-0.0,,,,Yes,1009,,stimuli/lr_lb_r_first.jpg,,,72471,,prediction_trial,19,image-button-response,,
1577,3_ramp_blue,,,,,,,3,True,,,,,,,,,,,0.0-9.0-1.0,,,,,,,['stimuli/lr_lb_r.mp4'],,,80747,,video_trial,20,video-button-response,,
1577,3_ramp_blue,,,,,,,3,,,,,,,,,,,,0.0-9.0-2.0,,,,0,953,,stimuli/lr_lb_r_last.jpg,,,81706,,feedback_trial,21,image-button-response,,
1577,3_ramp_blue,,0,,,,,3,False,No,False,,0,,,,,,,0.0-10.0-0.0,,,,Yes,2123,,stimuli/hb_hy_r_first.jpg,,,83840,,prediction_trial,22,image-button-response,,
1577,3_ramp_blue,,,,,,,3,False,,,,,,,,,,,0.0-10.0-1.0,,,,,,,['stimuli/hb_hy_r.mp4'],,,91617,,video_trial,23,video-button-response,,
1577,3_ramp_blue,,,,,,,3,,,,,,,,,,,,0.0-10.0-2.0,,,,0,786,,stimuli/hb_hy_r_last.jpg,,,92409,,feedback_trial,24,image-button-response,,
