workerid,proliferate.condition,age,bonus,ethnicity,feedback,gender,internal_node_id,overall_accuracy,race,response,rt,rule,time_elapsed,trial,trial_index,trial_type,error
650,color_on,63,0.4,Non-Hispanic,none --  i just guessed right the first time,Female,0.0-40.0,1,White,"{'age': '63', 'race': 'White', 'gender': 'Female', 'feedback': 'none --  i just guessed right the first time', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",21141,light,114038,exit_survey,44,survey-html-form,
606,color_on,30,0.375,Non-Hispanic,I'm not sure how to explain my decisions (deduction?) but this was fun! :) Thank you!,Non-binary,0.0-40.0,0.9375,Multiracial,"{'age': '30', 'race': 'Multiracial', 'gender': 'Non-binary', 'feedback': ""I'm not sure how to explain my decisions (deduction?) but this was fun! :) Thank you!"", 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",59502,dark,189285,exit_survey,44,survey-html-form,
634,color_on,38,0.375,Non-Hispanic,The color of the Blicket.,Female,0.0-40.0,0.9375,White,"{'age': '38', 'race': 'White', 'gender': 'Female', 'feedback': 'The color of the Blicket.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",22275,dark,116522,exit_survey,44,survey-html-form,
610,color_on,23,0.17500000000000002,Non-Hispanic,,Female,0.0-40.0,0.4375,White,"{'age': '23', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",6002,light,98161,exit_survey,44,survey-html-form,
718,color_on,34,0.4,Non-Hispanic,"The first one was a complete guess. The second was an educated guess. I was lucky with both. After that, the pattern was obvious.",Male,0.0-40.0,1,White,"{'age': '34', 'race': 'White', 'gender': 'Male', 'feedback': 'The first one was a complete guess. The second was an educated guess. I was lucky with both. After that, the pattern was obvious.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",37093,dark,124058,exit_survey,44,survey-html-form,
688,color_on,51,0.35000000000000003,Non-Hispanic,I used feedback on whether my guess was correct or not to learn which objects were blickets.,Male,0.0-40.0,0.875,Asian,"{'age': '51', 'race': 'Asian', 'gender': 'Male', 'feedback': 'I used feedback on whether my guess was correct or not to learn which objects were blickets.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",75643,dark,245434,exit_survey,44,survey-html-form,
663,color_on,39,0.35000000000000003,Non-Hispanic,,Male,0.0-40.0,0.875,Asian,"{'age': '39', 'race': 'Asian', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",10859,dark,232867,exit_survey,50,survey-html-form,
710,color_on,69,0.4,Non-Hispanic,,Male,0.0-40.0,1,White,"{'age': '69', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",18297,dark,231852,exit_survey,44,survey-html-form,
692,color_on,25,0.375,Non-Hispanic,"Check what was the characteristic that defined a blinket, color or shape.",Male,0.0-40.0,0.9375,Asian,"{'age': '25', 'race': 'Asian', 'gender': 'Male', 'feedback': 'Check what was the characteristic that defined a blinket, color or shape.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",31446,dark,151510,exit_survey,50,survey-html-form,
709,color_on,28,0.17500000000000002,Hispanic,I tried to find a pattern based on the shape and color of the blocks.,Female,0.0-40.0,0.4375,White,"{'age': '28', 'race': 'White', 'gender': 'Female', 'feedback': 'I tried to find a pattern based on the shape and color of the blocks.', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",28538,dark,118057,exit_survey,50,survey-html-form,
680,color_on,35,0.30000000000000004,Non-Hispanic,I found that the dark were on and light were off,Male,0.0-40.0,0.75,White,"{'age': '35', 'race': 'White', 'gender': 'Male', 'feedback': 'I found that the dark were on and light were off', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",15647,dark,389714,exit_survey,50,survey-html-form,
602,color_on,32,0.4,Non-Hispanic,,Female,0.0-40.0,1,White,"{'age': '32', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",14557,light,116212,exit_survey,44,survey-html-form,
638,color_on,21,0.225,Non-Hispanic,Whether or not the color was the same between the shapes or not.,Female,0.0-40.0,0.5625,White,"{'age': '21', 'race': 'White', 'gender': 'Female', 'feedback': 'Whether or not the color was the same between the shapes or not.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",18831,dark,160767,exit_survey,50,survey-html-form,
700,color_on,21,0.4,Non-Hispanic,,Female,0.0-40.0,1,White,"{'age': '21', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",13947,light,140065,exit_survey,44,survey-html-form,
642,color_on,56,0.35000000000000003,Non-Hispanic,looking at the color of the shape,Male,0.0-40.0,0.875,White,"{'age': '56', 'race': 'White', 'gender': 'Male', 'feedback': 'looking at the color of the shape', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",40349,light,344205,exit_survey,44,survey-html-form,
684,color_on,38,0.375,Non-Hispanic,,Male,0.0-40.0,0.9375,White,"{'age': '38', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",11873,dark,102534,exit_survey,44,survey-html-form,
706,color_on,31,0.375,Hispanic,,Female,0.0-40.0,0.9375,White,"{'age': '31', 'race': 'White', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",11127,light,101299,exit_survey,44,survey-html-form,
676,color_on,20,0.35000000000000003,Non-Hispanic,light vs dark,Female,0.0-40.0,0.875,White,"{'age': '20', 'race': 'White', 'gender': 'Female', 'feedback': 'light vs dark', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",18044,dark,98318,exit_survey,44,survey-html-form,
714,color_on,43,0.4,Non-Hispanic,,Female,0.0-40.0,1,Black/African American,"{'age': '43', 'race': 'Black/African American', 'gender': 'Female', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",67854,dark,311365,exit_survey,44,survey-html-form,
723,color_on,55,0.225,Non-Hispanic,alternated looked for cylinder,Male,0.0-40.0,0.5625,White,"{'age': '55', 'race': 'White', 'gender': 'Male', 'feedback': 'alternated looked for cylinder', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",34116,dark,217819,exit_survey,56,survey-html-form,
626,color_on,39,0.35000000000000003,Non-Hispanic,I quickly figured out that the dark objects were blickets and the light were not.,Male,0.0-40.0,0.875,White,"{'age': '39', 'race': 'White', 'gender': 'Male', 'feedback': 'I quickly figured out that the dark objects were blickets and the light were not.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",64979,dark,196684,exit_survey,44,survey-html-form,
671,color_on,42,0.375,Non-Hispanic,I just paid close attention to my first answer and based the rest of my answers off the first answer I gave.,Female,0.0-40.0,0.9375,Black/African American,"{'age': '42', 'race': 'Black/African American', 'gender': 'Female', 'feedback': 'I just paid close attention to my first answer and based the rest of my answers off the first answer I gave.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",55935,light,230571,exit_survey,44,survey-html-form,
622,color_on,38,0.4,Hispanic,previous examples the blickets were darker in color so i figured that the dark were blickets.,Male,0.0-40.0,1,White,"{'age': '38', 'race': 'White', 'gender': 'Male', 'feedback': 'previous examples the blickets were darker in color so i figured that the dark were blickets.', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",50070,dark,291500,exit_survey,44,survey-html-form,
618,color_on,35,0.35000000000000003,Non-Hispanic,i guessed and went from there,Female,0.0-40.0,0.875,White,"{'age': '35', 'race': 'White', 'gender': 'Female', 'feedback': 'i guessed and went from there', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",28466,light,192277,exit_survey,44,survey-html-form,
646,color_on,61,0.4,Non-Hispanic,"I feel like I got very lucky right out of the gate, guessing that the dark objects were blickets.  I don't feel like I had any decent rationale to support that guess.",Male,0.0-40.0,1,White,"{'age': '61', 'race': 'White', 'gender': 'Male', 'feedback': ""I feel like I got very lucky right out of the gate, guessing that the dark objects were blickets.  I don't feel like I had any decent rationale to support that guess."", 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",53271,dark,221808,exit_survey,44,survey-html-form,
655,color_on,34,0.375,Non-Hispanic,"I used the first four to figure out what worked and wrote down the trends - black worked, grey didn't.",Male,0.0-40.0,0.9375,White,"{'age': '34', 'race': 'White', 'gender': 'Male', 'feedback': ""I used the first four to figure out what worked and wrote down the trends - black worked, grey didn't."", 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",28292,dark,154232,exit_survey,44,survey-html-form,
696,color_on,25,0.35000000000000003,Non-Hispanic,i looked at shape vs color initially til i found a pattern,Male,0.0-40.0,0.875,White,"{'age': '25', 'race': 'White', 'gender': 'Male', 'feedback': 'i looked at shape vs color initially til i found a pattern', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",22049,light,117993,exit_survey,50,survey-html-form,
614,color_on,32,0.35000000000000003,Non-Hispanic,I just said no until i get a right answer to the four types,Female,0.0-40.0,0.875,Black/African American,"{'age': '32', 'race': 'Black/African American', 'gender': 'Female', 'feedback': 'I just said no until i get a right answer to the four types', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",30177,dark,188237,exit_survey,44,survey-html-form,
630,color_on,35,0.4,Non-Hispanic,If it is light or dark,Female,0.0-40.0,1,White,"{'age': '35', 'race': 'White', 'gender': 'Female', 'feedback': 'If it is light or dark', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",45744,dark,279465,exit_survey,50,survey-html-form,
679,color_off,29,0.15000000000000002,Non-Hispanic,What color the blocks were,Female,0.0-40.0,0.375,White,"{'age': '29', 'race': 'White', 'gender': 'Female', 'feedback': 'What color the blocks were', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",14542,dark,145720,exit_survey,44,survey-html-form,
633,color_off,24,0.325,Non-Hispanic,I gave most of them as yes they are blickets as answers and then based off the rest if they are or not.,Female,0.0-40.0,0.8125,Asian,"{'age': '24', 'race': 'Asian', 'gender': 'Female', 'feedback': 'I gave most of them as yes they are blickets as answers and then based off the rest if they are or not.', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",269561,light,561551,exit_survey,50,survey-html-form,
708,color_off,32,0.4,Non-Hispanic,,Male,0.0-40.0,1,White,"{'age': '32', 'race': 'White', 'gender': 'Male', 'feedback': '', 'ethnicity': 'Non-Hispanic', 'other_race': '', 'other_gender': ''}",6330,dark,185807,exit_survey,44,survey-html-form,
699,color_off,35,0.325,Hispanic,Analysis and process of elimination,Female,0.0-40.0,0.8125,Multiracial,"{'age': '35', 'race': 'Multiracial', 'gender': 'Female', 'feedback': 'Analysis and process of elimination', 'ethnicity': 'Hispanic', 'other_race': '', 'other_gender': ''}",39714,light,229851,exit_survey,44,survey-html-form,
